optimal_gap,success
-0.0,1
72.73,1
100.0,0
38.48,1
33.77,1
61.22,1
36.38,1
100.0,0
5.42,1
3.04,1
100.0,1
16.91,1
21.59,1
6.11,1
100.0,0
63.16,1
59.29,1
32.9,1
0.0,1
100.0,1
82.95,1
3.17,1
28.63,1
77.0,1
35.57,1
61.7,1
11.53,1
63.16,1
23.92,1
100.0,1
-0.0,1
100.0,1
95.69,1
100.0,0
100.0,1
0.0,1
89.55,1
11.28,1
58.2,1
70.37,1
85.31,1
100.0,1
38.77,1
100.0,1
2.18,1
45.52,1
100.0,1
100.0,0
26.26,1
0.0,1
100.0,1
64.84,1
17.77,1
92.69,1
-0.0,1
60.65,1
17.65,1
100.0,0
-Inf,1
40.93,1
74.63,1
77.41,1
21.99,1
100.0,0
100.0,1
35.9,1
100.0,0
7.69,1
92.3,1
100.0,0
100.0,0
8.98,1
55.91,1
45.69,1
40.68,1
1.21,1
11.94,1
96.24,1
45.45,1
72.09,1
100.0,1
100.0,1
92.61,1
100.0,1
100.0,0
-0.0,1
100.0,0
100.0,0
96.48,1
100.0,1
100.0,1
-0.0,1
16.76,1
100.0,1
0.0,1
21.88,1
27.78,1
100.0,0
40.89,1
0.0,1
