optimal_gap,success
0,1
0,1
16.67,1
63.64,1
0,1
33.33,1
0,1
100,0
16.67,1
100,0
0,1
41.65,1
0,1
0,1
0,1
100,0
0,1
0,1
6.45,1
0,1
100,1
0,1
0,1
0,1
0.92,1
0,1
80,1
0,1
0,1
12,1
0,1
0,1
24.37,1
0,1
60,1
0,1
0,1
0,1
100,0
0,1
28.89,1
43.66,1
100,0
9.09,1
0,1
100,0
15.38,1
0,1
25,1
31.76,1
0,1
100,0
28.57,1
2.15,1
0,1
82.76,1
100,0
0,1
11.11,1
0,1
0,1
16,1
100,0
0,1
21.04,1
0,1
36.53,1
100,0
50,1
82.61,1
33.33,1
13.56,1
33.33,1
0,1
100,1
0,1
14.29,1
75,1
0,1
33.33,1
0,1
25.93,1
55.34,1
0,1
80,1
50,1
0,1
0,1
18.18,1
0,1
4.08,1
88.89,1
21.18,1
0,1
0,1
0,1
7.14,1
0,1
100,1
0,1
26.9383,
