optimal_gap,success
50.0,1
0.0,1
91.67,1
-0.0,1
4.95,1
33.33,1
-0.0,1
-0.0,1
66.67,1
0.0,1
2.44,1
1.65,1
70.0,1
33.33,1
100.0,0
100.0,1
33.33,1
-0.0,1
-0.0,1
28.57,1
60.0,1
40.0,1
0.0,1
0.0,1
42.2,1
35.38,1
100.0,0
-0.0,1
0.0,1
-0.0,1
-0.0,1
13.04,1
28.57,1
0.0,1
20.0,1
33.33,1
5.0,1
-0.0,1
100.0,1
40.0,1
100.0,1
35.21,1
-0.0,1
-0.0,1
50.0,1
100.0,1
36.92,1
22.22,1
-0.0,1
-0.0,1
0.0,1
100.0,0
28.57,1
0.0,1
50.0,1
72.41,1
-0.0,1
50.0,1
0.0,1
-0.0,1
44.44,1
0.0,1
100.0,1
33.33,1
-0.0,1
0.0,1
26.57,1
100.0,1
0.0,1
65.22,1
100.0,0
-0.0,1
33.33,1
41.27,1
57.14,1
21.43,1
85.71,1
-0.0,1
0.0,1
100.0,1
80.0,1
7.41,1
0.0,1
53.33,1
-0.0,1
100.0,1
50.0,1
40.0,1
0.0,1
20.0,1
4.08,1
93.33,1
-0.0,1
0.0,1
100.0,1
70.0,1
7.14,1
50.0,1
80.0,1
58.08,1
