optimal_gap,success
100,1
100,1
158.33,0
345.45,0
9.9,1
133.33,0
125,0
100,0
66.67,1
100,1
69.51,1
32.78,1
20,1
66.67,1
50,1
150,0
100,1
0,1
22.58,1
14.29,1
159,0
60,1
75,1
50,1
8.26,1
35.38,1
280,0
100,1
130.77,0
138,0
0,1
0,1
150.42,0
66.67,1
60,1
166.67,0
15,1
20,1
100,0
40,1
775.56,0
100,0
100,1
72.73,1
0,1
100,1
33.85,1
27.78,1
25,1
58.82,1
0,1
100,0
85.71,1
24.73,1
400,0
89.66,1
100,1
50,1
166.67,0
100,0
11.11,1
140,0
100,1
66.67,1
42.11,1
0,1
100,1
100,0
100,1
104.35,0
233.33,0
88.98,1
266.67,0
161.9,0
171.43,0
0,1
71.43,1
100,1
60,1
91.11,1
0,1
74.07,1
24.79,1
80,1
100,0
250,0
150,0
40,1
90.91,1
0,1
102.04,0
144.44,0
68.24,1
50,1
100,1
0,1
533.33,0
50,1
440,0
58.08,1
101.9518,
