optimal_gap,success,objective_value
0,1,9.71764705882351
9.09,1,20
100,0,-9.05830965791665E-13
27.19,1,0.591006465380915
26.73,1,2.30190089110669
38.78,1,5.99999999999999
10.36,1,0.158464849425394
100,0,7.52107404133895E-12
0,1,4.69606312276789
0,1,3.53655813875689
100,0,-0.0638441263800148
46.56,1,1.85519976344945
66.53,1,0.195502051670495
8.27,1,0.939989202717581
98.85,1,0.00481551115625378
21.05,1,15
90.85,1,0.0802338862085437
19.26,1,0.486751985370391
0,1,7.34695222405264
100,0,-0.153296934061344
100,0,-1.99840144432528E-13
3.17,1,9.19162875341319
13.9,1,2.03222670148576
19.97,1,1.09556965215846
11.6,1,1.97871204239642
100,0,-8.30446822419617E-14
5.06,1,9.46141304347833
63.16,1,4.66666666666663
23.92,1,1.06858002931378
18.85,1,0.0149861348754027
24.86,1,0.141223531905744
100,0,-6.01740879346835E-14
97.39,1,0.0135908007960248
14.94,1,0.0852032520323629
100,0,-0.000130215892398255
0,1,9.84507042253527
55.31,1,0.0477635414910454
0,1,3.72809581034591
17.13,1,0.343655558408065
22.22,1,10.5000000000001
78.88,1,0.0412157422216155
100,0,-0.022238106160829
35.4,1,0.0935870623620774
100,0,-0.0194365334221465
0,1,5.62773122816935
50.86,1,0.073762160424649
76.53,1,0.152361604874915
100,0,-0.0575918080881568
21.03,1,0.675716490115722
4.41,1,9.28571428571451
55.71,1,0.222467500688047
54.05,1,0.542198968623542
18.17,1,1.80101253149645
84.92,1,0.0289913428604653
14.45,1,3.11111111111113
64.17,1,0.0700000858995078
0,1,8.08353645025481
100,0,-0.0502247138975049
0,0,-2.92717239336326E-13
14.26,1,2.6651924393204
80.97,1,0.0149812734093802
75.39,1,0.0408412128484102
10.39,1,3.15643853160381
100,0,-4.70168348698508E-12
0,1,0.0333333333333098
19.16,1,1.50494627727556
100,0,-3.49786866138402E-12
7.69,1,12
53.36,1,0.126013787343709
100,0,-3.22075699443758E-13
66.67,1,0.0738461538461889
2.52,1,5.09855907718623
17.28,1,0.39595774955093
44.85,1,0.240330926578258
0,1,0.657008472937898
0,1,7.99541833719231
2.01,1,1.04230324464463
98.72,1,0.00320394772724039
18.18,1,9
55.81,1,0.0354477611939735
100,0,1.13908882326541E-13
100,0,-0.0223069400937163
96.77,1,0.0236304321768545
94.79,1,0.0288929558833368
16.67,1,10
0,1,4.49482761796694
100,0,5.42565992134314E-13
43.08,1,0.0256827048112964
99.92,1,0.000377262033085302
100,0,1.28782401409566E-13
100,0,9.09272657168003E-14
5.68,1,5.27698015809012
7.46,1,0.520068375214238
98.21,1,0.0122865253760103
0,1,4.99601554581365
0,1,1.82457576450662
16.67,1,15
100,0,-0.0293930074712798
0,1,0.576039845367657
0,1,5.5892120397527
45.6009,,
