optimal_gap,success,objective_value
100,0,3.5527136788005E-15
100,0,-0.00325343839404396
100,0,-3.5527136788005E-15
68.75,1,0.208333333333843
100,0,-0.0358626247826087
100,0,1.77635683940025E-15
43.76,1,0.407242887496119
46.65,1,0.884882805667218
51.37,1,0.562426958478062
0,1,4.0906875718079
25.72,1,2.51685125214933
100,0,-0.0152508929145676
82.89,1,0.0802611562192523
100,0,-1.77635683940025E-15
1.85,1,0.890756302521154
100,0,1.46938017309139E-12
0,1,0.490196078431606
69.51,1,0.0391873765998081
0,0,3.35065308831872E-13
51.81,1,0.536912751677889
0,0,1.54942031427296E-13
0,1,7.73333333333333
70.5,1,0.311719029143229
37.29,1,0.794129527399353
0.68,1,4.02514417330321
25.64,1,5.79999999999999
100,0,7.105427357601E-15
100,0,7.105427357601E-15
0,1,3.49460853258238
100,0,7.39526495596721E-13
0,1,5.31711990478927
0,1,0.201058201058619
0,1,15.8823529411765
100,0,7.2730710343194E-13
100,0,0
100,0,1.77635683940025E-15
29.41,1,0.774193548386992
100,0,-2.22044604925031E-15
100,0,1.05687680829192E-12
16.67,1,0.714285714285601
0,1,6
10,1,18
49.85,1,0.187499999999709
69.57,1,1.27272727272713
57.82,1,0.167684619654974
100,0,5.49560397189453E-13
27.24,1,2.48337863265735
38.15,1,0.254616512792539
100,0,5.17919040987636E-13
7.69,1,24
3.4,1,4.04362801377728
9.09,1,10
42.86,1,4
100,0,-7.105427357601E-15
0,1,5.18254333008083
16.22,1,13.0526315789474
0,1,4.69387755102018
5.56,1,8.77840303281691
26.56,1,1.29309094760612
0,1,6
0,1,4.75737704917996
0,1,14
34.19,1,1.71959536009158
35.15,1,1.92140656131705
100,0,1.01260666518499E-12
16.33,1,1.41055873032487
89.44,1,0.0233281493006335
0,1,8
100,0,1.05460085109144E-12
100,0,-0.0602818223249577
0,1,2.99999999999988
100,0,0
14.39,1,0.777142857143229
25.48,1,2.98064516129053
0,1,8.30715753534383
0,1,7.31050719774906
0,1,1.50204883759861
32.47,1,1.91033891722524
0,1,5.33972804890955
27.45,1,0.881268197994637
100,0,3.93463039927155E-13
0,1,0.264705882352951
73.93,1,0.0316655627442889
93.24,1,0.0280898876405424
12.43,1,0.323469387754293
96.14,1,0.0153508771928013
76.44,1,0.0931645096479469
100,0,6.21058759975313E-13
15.9,1,2.76631582936185
15.38,1,11
0,1,0.042553191488336
23.71,1,3.41055718475005
100,0,0
7.9,1,1.00315305259013
0,1,1.84431137724374
100,0,6.27137231035135E-13
36.36,1,3.50000000000001
7.46,1,3.19898819561513
16.67,1,3.33333333333336
65,1,0.133971291866694
45.0197,0.71,
