optimal_gap,success,objective_value
100,0,4.46934850240055E-12
100,0,-0.0724261963359361
94.4,1,0.0257472036285786
100,0,-0.118871607889769
100,0,-0.0276570231211361
100,0,-0.0267976946709282
100,0,-0.0138933869516794
2.53,1,12.3098164674162
4.41,1,8.51459089076862
59.09,1,0.362124520475657
100,0,-0.0945760704128731
78.83,1,0.0423496407309409
24.2,1,2.0983870134275
100,0,-0.000316752224158848
100,0,-0.0981029939294801
100,0,-0.0414020218147308
100,0,-0.0433699122237878
3.04,1,3.33961854348232
100,0,-0.0728828943452547
100,0,-0.0263348053663803
34.42,1,0.577233625571525
100,0,-0.103909190092677
44.88,1,1.00154331407302
11.81,1,2.70611194013363
100,0,-0.0185780476644651
58.34,1,0.642948913406004
100,0,-0.0757903281212136
0,1,7.4680433218853
100,0,-0.020664349383279
75.61,1,0.257267068650622
9.93,1,2.23685319380926
0,1,9.80275716922269
100,0,-0.0627694372417416
0,1,5.43982895547368
100,0,-0.154748353144932
100,0,-7.10959069394335E-13
100,0,-0.133370509990889
0,1,3.17987505375383
59.42,1,0.328232348314872
100,0,-0.07374378922744
100,0,-0.0187510761796719
96.42,1,0.0189856297373301
100,0,-0.00993744336250645
100,0,-0.00129538104108651
100,0,-0.00468602377090427
82.48,1,0.0815543709648039
0.13,1,3.71392839282828
7.95,1,6.54835807451656
100,0,-0.0102178007942025
100,0,-0.110439275301477
100,0,-0.034993641976353
100,0,-0.00420818738177686
100,0,-0.106337991991398
5.26,1,18
100,0,-0.147435272101231
100,0,-0.025623720305345
0,1,16.4761904761903
28.82,1,1.42662710939114
100,0,1.83950077392581E-14
0,1,20.0000000000006
100,0,-0.00858826537038876
100,0,-0.0133776912799402
100,0,-0.141749987270388
86.65,1,0.0297883909735762
25.92,1,1.02118514175841
84.86,1,0.0990340598593678
0,1,4.24764990289871
100,0,-0.0066668681645906
90.68,1,0.0647031366615219
78.78,1,0.17080188783448
13.14,1,3.77144970261173
30.67,1,0.666372605016477
100,0,-0.0193851427053529
36.01,1,2.06897557725662
100,0,-0.0157343781538356
98.22,1,0.0051409947002394
2.54,1,4.13709190194879
0,1,11.9758065052978
100,0,-0.101608253858748
100,0,-0.0211626139144885
67.66,1,0.431494813027671
100,0,-6.22890627965944E-12
100,0,-0.026152860360276
99.61,1,0.00130782716377265
69.57,1,0.2517805939796
8.03,1,3.10773251749947
53.21,1,0.215188332034568
89.61,1,0.0827457850481999
100,0,-0.000351448845320568
100,0,-0.0239841717443889
0,1,15.6152882205525
63.06,1,0.310726808015368
0,1,3.03669476455391
100,0,-0.044586603974169
100,0,-0.0814664247292349
100,0,-0.0492972447893496
100,0,-0.0762618209619466
0,1,10.6527827011687
100,0,-0.272942743279905
94.47,1,0.0275217550823391
69.7466,0.49,
