optimal_gap,success,objective_value,success,objective_value
100,0,-0.125542921301998,0,-91.8160881382497
70.58,1,0.0317207896805234,0,-88.3098271934801
21.65,1,0.359947885931504,1,0.359947885931504
100,0,-0.13717299474668,0,-98.8890470981213
8.84,1,0.312007367980208,1,0.312007367980208
54.55,1,0.0409849719665125,1,0.0409849719665125
8.77,1,0.383442225370313,1,0.383442225370313
13.43,1,10.9329643037552,1,4.44592944940225
0,1,8.90695284159626,1,1.99999999999999
11.06,1,0.787226984268205,1,0.787226984268205
100,0,-0.128277525040638,0,-74.140883559245
27.35,1,0.145359015907282,1,0.145359015907282
0,1,2.76845199282311,1,2.76845199282311
11.68,1,0.408684029050399,1,0.408684029050399
100,0,-0.164202993304383,0,-102.575315221015
100,0,-0.0409524645010159,0,-92.357100411486
17.69,1,0.105577863641887,1,0.105577863641887
0,1,3.44436231674527,1,3.4312620024797
100,0,-0.21775115790228,0,-93.5425396384402
19.66,1,0.260250981393405,1,0.260250981393405
10.59,1,0.786976174456338,1,0.786976174456338
100,0,-0.159892934383665,0,-95.0999189393363
0,1,1.81686871306139,1,1.81686871306139
2.26,1,2.99916114106013,1,2.99916114106013
47.43,1,0.0837198239205144,1,0.0837198239205144
1.29,1,1.52319921978739,1,1.52319921978739
100,0,-0.0915399211632726,0,-89.138454494528
1.46,1,7.3587236865976,1,7.3587236865976
100,0,-0.00338550146403316,0,-83.5047753517007
12.17,1,0.926480260936167,1,0.926480260936167
2.09,1,2.43172117021654,1,2.43172117021654
0,1,9.80275716922354,1,2
100,0,-0.069322202558722,0,-109.496943085323
4.34,1,5.20385445267348,1,5.20385445267348
60.49,1,0.180546754220263,1,0.180546754220263
100,0,-0.024009803068589,0,-86.4075507616346
100,0,-0.0710245546071335,0,-84.3583136090724
4.12,1,3.04872318828733,1,3.04872318828733
11.44,1,0.716349613003299,1,0.716349613003299
100,0,-0.108173606759039,0,-105.499305685278
57.28,1,0.0565653394871291,1,0.0565653394871291
18.26,1,0.433299439930575,1,0.433299439930575
100,0,1.12462816836967E-11,0,-94.2222266238467
26.71,1,0.283296388996504,1,0.283296388996504
0,1,0.44403756644591,1,0.44403756644591
17.95,1,0.381848426125622,1,0.381848426125622
7.41,1,3.44330166921559,1,3.44330166921559
0,1,7.11408956924722,1,3.99999999999999
45.5,1,0.0520689185226857,1,0.0520689185226857
100,0,-0.187146052289444,0,-90.4401801838428
5.42,1,0.492996437648923,1,0.492996437648923
28.05,1,0.0544290115262278,1,0.0544290115262278
100,0,-0.0699411976457603,0,-89.346337795701
52.63,1,9,1,9
100,0,-0.0228365648514582,0,-99.5033587900867
2.43,1,0.427439654308923,1,0.427439654308923
16.18,1,13.8095238095238,1,9.97619047619047
0.86,1,1.98717241573389,1,1.98717241573389
100,0,-0.0138149445005934,0,-87.440664154582
40,1,12,1,12
60.73,1,0.0565957263339421,1,0.0565957263339421
46.06,1,0.0387936192727167,1,0.0387936192727167
100,0,-0.131156110363843,0,-94.8123184683618
20.13,1,0.178249923265142,1,0.178249923265142
17.17,1,1.14182366574989,1,1.14182366574989
10.44,1,0.585744737855535,1,0.585744737855535
4.91,1,4.03928540236337,1,4.03928540236337
18.48,1,0.326776919579377,1,0.326776919579377
25.61,1,0.516299136125287,1,0.516299136125287
25,1,0.603854508225503,1,0.603854508225503
3.78,1,4.17804496797752,1,4.17804496797752
16.26,1,0.804931182341033,1,0.804931182341033
2.25,1,0.147460452530563,1,0.147460452530563
15.61,1,2.72857561440855,1,2.72857561440855
32.2,1,0.116893004967341,1,0.116893004967341
22.87,1,0.222771853974972,1,0.222771853974972
0,1,4.24482879516006,1,4.24482879516006
1.51,1,11.7947873641449,1,4
100,0,-0.110386867935102,0,-100.551114281338
0,1,0.0609619463788178,1,0.0609619463788178
17.94,1,1.09471395844446,1,1.09471395844446
42.75,1,0.0639558399918236,1,0.0639558399918236
100,0,-0.0230275640523429,0,-85.1714172506869
7.02,1,0.311174649420646,1,0.311174649420646
10.15,1,0.743398970999596,1,0.743398970999596
0,1,3.37911863092345,1,3.37911863092345
11.82,1,0.405513254009591,1,0.405513254009591
31.71,1,0.543948256701299,1,0.543948256701299
35.71,1,0.15761565064463,1,0.15761565064463
48.84,1,0.0896119174756116,1,0.0896119174756116
5.74,1,14.7192982456144,1,6.69548872180451
14.17,1,0.721889634781004,1,0.721889634781004
3.39,1,2.93381019918515,1,2.93381019918515
100,0,-0.296027780689047,0,-85.5278328821047
100,0,-0.340808771560066,0,-84.2797350930798
100,0,-0.143496458960838,0,-90.691969728631
100,0,-0.0994987134279384,0,-94.6829996672598
2.08,1,10.4308755760369,1,10.4308755760369
100,0,-0.0846588374673707,0,-102.410033623838
26.94,1,0.363326289875388,1,0.363326289875388
39.2289,0.74,,0.73,
