optimal_gap,success,objective_value
0,1,9.717647059
0,1,22
0,1,0.017448201
0,1,0.811659682
0,1,3.141736091
0,1,9.8
0,1,0.176782808
100,0,-6.14E-13
0,1,4.696063123
4.41,1,3.38071676
0,1,0.018563374
0,1,3.47181396
0,1,0.58404701
6.11,1,0.962133862
0,1,0.417673794
0,1,19
0,1,0.876703718
0,1,0.602854966
0,1,7.346952224
11.27,1,0.052918942
0,1,0.363917754
1.73,1,9.327752502
7.06,1,2.193733251
0,1,1.368987726
0,1,2.238483975
0,1,0.049392447
0,1,9.96576087
0,1,12.66666667
3.92,1,1.349535456
0,1,0.018467166
8.24,1,0.172470276
100,0,8.89E-13
0,1,0.52016042
0,1,0.100162602
100,0,9.36E-13
0,1,9.845070423
40.5,1,0.063596783
0,1,3.72809581
0,1,0.41469013
0,1,13.5
0,1,0.195161939
0,1,0.058729083
0,1,0.144876153
0,1,0.156653391
0,1,5.627731228
0,1,0.150106954
0,1,0.649060437
0,1,0.029121581
0,1,0.855695876
0,1,9.714285714
0,1,0.502253653
0,1,1.179990146
0,1,2.200846955
0,1,0.192250673
0,1,3.636636637
0,1,0.19536306
9.38,1,7.325171726
0,1,0.067923829
0,0,1.75E-12
0,1,3.108408361
0,1,0.078734915
0,1,0.165958559
6.75,1,3.284812722
0,1,0.183755118
0,1,0.033333333
0,1,1.861709345
0,1,0.130283778
0,1,13
1.15,1,0.2670543
0,1,0.153179558
0,1,0.221538462
4.17,1,5.012454243
0,1,0.478651475
0,1,0.435783414
0,1,0.657008473
0.82,1,7.92962159
0.2,1,1.061558129
1.25,1,0.247502319
0,1,11
0,1,0.080223881
0,1,0.048442907
28.56,1,0.17054747
0,1,0.732308196
0,1,0.554835198
33.33,1,8
0,1,4.494827618
0,1,0.077206571
100,0,4.70E-12
0,1,0.47472009
0,1,0.103113154
0,1,0.220618371
0,1,5.594773351
7.46,1,0.520068375
0,1,0.686750346
0,1,4.996015546
0,1,1.824575765
0,1,18
0,1,0.148339734
0,1,0.576039845
29.82,1,3.9223197
6.0613,0.95,
