optimal_gap,success,objective_value
0,1,0.0181818181815944
90.64,1,0.00840545864548584
95.89,1,0.00181718516475904
81.25,1,0.125000000000199
100,0,-0.0636810118047076
100,0,3.46417339258664E-13
0,1,0.72409848102362
79.39,1,0.34176578625148
93.51,1,0.0750263190938
0,1,4.09068757180728
21.26,1,2.66793760006793
100,0,-0.0374263061538831
75.77,1,0.113665998409191
0,1,0.193423597678807
55.56,1,0.403361344538001
10,1,0.0414746543781788
100,0,3.67483821150927E-14
76.42,1,0.0303105522163345
0,0,-0.00869509622146919
26.51,1,0.818791946308722
0,0,-4.29274671365221E-14
0,1,7.73333333333333
32.71,1,0.710942021327344
33.44,1,0.842870607243808
0.68,1,4.02514417330465
15.38,1,6.59999999999997
100,0,-2.1094237467878E-14
51.97,1,0.0258034248185318
24.34,1,2.64416315049222
100,0,2.42583730880597E-13
0,1,5.31711990479018
100,0,-1.39159517242859E-14
30.37,1,11.0588235294117
100,0,-3.80806497446429E-14
90.29,1,0.00538358008073406
6.11,1,0.104436425387496
0,1,1.09677419354846
100,0,-4.86763407359092E-14
100,0,-0.0285858392110061
16.67,1,0.714285714285167
33.33,1,4
25,1,15
61.5,1,0.143922018348875
26.09,1,3.09090909090899
55.31,1,0.177679067184557
100,0,1.47881706880071E-13
0,1,3.4129207610287
53.83,1,0.19006896013161
90.87,1,0.0177680175680792
65.38,1,9
3.4,1,4.04362801377725
18.18,1,9
0,1,7
46.07,1,0.0383693045564066
2.09,1,5.07397041250933
0,1,15.5789473684211
0,1,4.69387755102043
5.56,1,8.77840303281689
7.75,1,1.62429804118405
33.33,1,4
0,1,4.75737704918029
14.29,1,12
21.36,1,2.05491631976397
9.38,1,2.6849219713269
66.16,1,0.245139059808373
0,1,1.68579575600009
68.31,1,0.0699844479010668
0,1,8
100,0,-1.64646074551911E-13
100,0,-0.0209555249160347
0,1,3.00000000000048
0,1,0.0015842839039385
1.38,1,0.895238095238249
25.48,1,2.98064516128932
0.21,1,8.29006805585491
0,1,7.31050719774887
10.04,1,1.35122930255939
0,1,2.82885240800479
0,1,5.33972804890902
21.15,1,0.957834573492878
100,0,2.51382248350751E-13
100,0,-0.205882352941222
95.13,1,0.00591022570888788
94.59,1,0.0224719101121715
85.91,1,0.0520408163241872
44.08,1,0.222587719298083
89.04,1,0.0433584077000462
47.75,1,0.675392670157076
8.86,1,2.99803897420359
15.38,1,11
100,0,2.18713935851156E-14
0,1,4.47067448680357
100,0,3.61738416998492E-13
3.48,1,1.0513508788905
61.9,1,0.702594810378913
100,0,2.07500683302442E-13
36.36,1,3.50000000000003
11.27,1,3.06745362563231
16.67,1,3.33333333333299
62.5,1,0.143540669856525
42.4653,,
