optimal_gap,success,objective_value
2.18,1,9.50588235293148
0,1,22
0,1,0.0174482006509282
0,1,0.811659681610482
0,1,3.14173609055826
0,1,9.79999999999996
0,1,0.176782807564783
100,0,-1.58852792031539E-12
0,1,4.69606312277853
4.41,1,3.38071675964013
38.25,1,0.0114636506198214
0,1,3.47181395996434
14.24,1,0.500864990062517
6.11,1,0.962133861950601
0,1,0.417673794212364
0,1,19
0,1,0.876703718290632
0,1,0.602854966444657
0,1,7.34695222404355
0,1,0.0596388072228439
0,1,0.363917753695205
1.73,1,9.32775250227527
7.06,1,2.19373325052839
0,1,1.36898772583354
0,1,2.2384839748305
12.23,1,0.043349753693245
0,1,9.9657608695693
5.26,1,12.0000000000087
3.92,1,1.34953545637964
100,0,-4.18443057981222E-13
8.24,1,0.17247027597323
100,0,1.10690970278604E-12
0,1,0.520160419982125
31.17,1,0.0689430894309068
100,0,2.78110867668602E-14
9.59,1,8.90140845069758
40.5,1,0.0635967825190572
11.11,1,3.3139646037035
0,1,0.414690129901794
3.7,1,13
0,1,0.195161938694236
19.62,1,0.0472073013719403
0,1,0.144876153165866
10.39,1,0.140378745759289
3.46,1,5.43306749581055
0,1,0.150106953572682
0,1,0.649060436773536
0,1,0.0291215810241651
0,1,0.855695876370742
0,1,9.71428571428358
0,1,0.502253652566595
0,1,1.17999014633058
0,1,2.20084695532718
0,1,0.192250672618909
0,1,3.63663663663663
0,1,0.195363060488132
2.74,1,7.86228672724858
7.37,1,0.0629198906543188
0,0,5.05373520809371E-13
0,1,3.10840836097509
0,1,0.0787349146899707
0,1,0.165958558744396
6.75,1,3.28481272164453
0,1,0.183755118089121
100,0,8.39328606616618E-14
0,1,1.86170934507008
0,1,0.130283778051261
0,1,13.0000000000001
0,1,0.270173359681176
0,1,0.153179557648288
4.17,1,0.212307692307697
4.17,1,5.01245424257293
0,1,0.478651475340798
0,1,0.435783413856913
0,1,0.657008472942733
0.82,1,7.92962158995564
0.2,1,1.06155812936643
1.25,1,0.247502318956609
0,1,11
6.98,1,0.074626865660438
100,0,1.43092482307594E-12
0,1,0.238743781956828
0,1,0.732308196051819
0,1,0.554835198170537
0,1,11.9999999999933
1.54,1,4.42554427365187
27.96,1,0.0556223792361784
100,0,4.84057238736568E-13
0,1,0.474720089737026
41.36,1,0.060464133369589
0,1,0.220618370834978
0,1,5.59477335054405
7.46,1,0.520068375213029
0,1,0.686750345880603
0,1,4.99601554581347
0,1,1.82457576450217
0,1,18
0,1,0.148339734422899
0,1,0.57603984536857
34.97,1,3.63477572700686
10.8091,0.92,
