optimal_gap,success,objective_value
0,1,0.800000000000006
0,1,1
16.67,1,0.0415800415809689
0,1,0.564102564102566
0,1,2.34883720930232
0,1,0.200000000000592
0,1,2.28571428571444
0,1,0.0869565217392947
16.67,1,5
0,1,0.0270270270270281
0,1,1.56190476190777
1.65,1,1.17777777777778
0,1,10
0,1,6
0,1,4
50,1,0.333333333333337
0,1,1.5
0,1,1
0,1,2
14.29,1,6
0,1,0.546448087431697
0,1,5
0,1,2
0,1,1.33333333333334
27.52,1,5.26666666666969
0,1,3.61111111111092
0,1,0.370370370369039
0,1,1.00000000000018
46.15,1,0.225806451612899
0,1,2.85714285714285
0,1,2.00000000000016
0,1,1.91666666666667
0,1,0.891385767788888
0,1,6
0,1,2
0,1,1.20000000000001
0,1,6.31578947368422
0,1,2.5
0,1,0.499999999999997
0,1,5
0,1,0.0835654596100301
0,1,0.527881040892228
0,1,0.00399201596844764
0,1,1.83333333333427
0,1,6
0,1,0.500000000000001
0,1,1.85714285714286
0,1,9
0,1,0.571428571428572
0,1,0.776255707764199
0,1,4
100,0,0
0,1,0.583333333333333
2.15,1,3.63999999999971
0,1,0.250000000000707
0,1,0.610526315789464
0,1,0.346414073072675
0,1,1
0,1,0.947368421052632
0,1,0.363636363637057
0,1,9
4,1,0.52173913043482
0,1,1
0,1,2.00000000000041
0,1,4.46277336391189
0,1,0.666666666666789
7.01,1,0.700973574408902
0,1,0.500000000000001
0,1,0.800000000000001
73.91,1,0.109090909090911
0,1,0.115384615385542
0,1,3.10526315789475
33.33,1,0.23529411764706
0,1,1.26
0,1,0.0627802690577787
0,1,7
42.86,1,2
0,1,0.444444444444442
0,1,5
56.67,1,0.187951807229218
0,1,10
0,1,1.92857142857143
0,1,1.67142857142857
0,1,0.937500000000005
80,1,0.100000000000002
0,1,0.190476190476192
0,1,2
0,1,1.66666666666667
0,1,2.2
0,1,5
0,1,2.04166666666668
71.11,1,0.136125654450258
0,1,1.54545454545611
0,1,3
0,1,0.153846153846702
0,1,10
0,1,0.403846153845621
0,1,4
66.67,1,0.121951219512196
0,1,1.85555555555676
7.1066,0.99,
