optimal_gap,success,objective_value
0,1,0.018181818181365
0,1,0.0897993564431378
95.89,1,0.00181718516509774
12.5,1,0.583333333335088
60.18,1,0.0237163666115023
0,1,0.0591715976362205
0,1,0.724098481022888
0,1,1.65854031834871
0,1,1.15661068023992
7.65,1,3.77762907813828
0,1,3.38844402770327
100,0,-2.1316282072803E-14
34.94,1,0.30525487967728
0,1,0.193423597678919
1.85,1,0.890756302521011
10,1,0.0414746543801853
0,1,0.490196078435167
44.17,1,0.0717602405060874
0,0,-9.39803790345195E-13
0,1,1.11409395973154
0,0,-1.48353551665537E-14
0,1,7.73333333333262
9.77,1,0.953263785094933
0,1,1.26632556887034
3.81,1,3.89823676702813
7.69,1,7.20000000000056
0,1,0.0863358928928449
100,0,1.82132087189757E-13
0,1,3.49460853258322
0,1,0.220338983051745
5.75,1,5.01163939303768
0,1,0.201058201052293
0,1,15.8823529411771
0,1,0.052631578947361
100,0,3.38867822691213E-13
0,1,0.11122903841342
0,1,1.09677419355002
0,1,0.154362416108818
100,0,-2.09277040141842E-13
0,1,0.857142857145282
0,1,6
0,1,20
0,1,0.373853211009175
0,1,4.18181818181963
33.52,1,0.264297612438509
0,1,0.157683309053951
0,1,3.41292076102865
0,1,0.411674052832211
0,1,0.194649630667792
0,1,26
32.94,1,2.80711825488035
0,1,11
0,1,7
23.6,1,0.0543565147881715
5.39,1,4.90340594296531
0,1,15.578947368422
12.61,1,4.10204081632616
13.2,1,8.06773486553881
3.48,1,1.69952123982587
16.67,1,5
0,1,4.75737704918033
0,1,14.0000000000004
0,1,2.61300384294728
0,1,2.96268419590598
0,1,0.724423660677671
0,1,1.68579575599921
27.82,1,0.159409020217735
0,1,8
6.45,1,0.00786227463717615
19.88,1,0.0304208256364515
0,1,3
0,1,0.00158428390374743
2.82,1,0.882176870748307
0,1,4.00000000000096
7.06,1,7.72065062677908
3.54,1,7.05185236497362
0,1,1.50204883759826
0,1,2.82885240800459
0,1,5.33972804890949
0,1,1.21470937129715
0,1,0.133247089263691
0,1,0.26470588235294
28.4,1,0.0869720283262167
0,1,0.415730337081151
0,1,0.3693877551021
0,1,0.398026315789476
0,1,0.395458580574431
0,1,1.29253926701838
0,1,3.28938867152343
0,1,13
0,1,0.0425531914855892
20.89,1,3.53665689149461
0,1,0.0459015294937376
0,1,1.0892294243429
0,1,1.84431137724452
0,1,0.280325203253285
0,1,5.50000000000008
0,1,3.45699831366263
0,1,4
7.5,1,0.354066985645013
9.5997,0.94,
