optimal_gap,success
9.69,1
9.09,1
100,1
100,0
41.83,1
18.37,1
100,0
100,0
25.13,1
33.07,1
100,1
46.08,1
98.48,1
49.26,1
100,1
21.05,1
93.99,1
100,1
19.43,1
100,1
100,1
7.95,1
58.5,1
93.76,1
48.02,1
100,1
72.67,1
0,1
100,0
100,1
100,0
100,1
100,1
100,1
100,0
0,1
100,1
14.55,1
100,0
14.81,1
100,0
100,0
100,1
100,1
13.45,1
100,0
100,1
100,0
100,0
26.47,1
79.63,1
100,1
67.46,1
100,1
50.5,1
100,0
40.26,1
100,1
0,1
34.37,1
100,1
100,0
74.71,1
100,0
100,0
86.9,1
100,0
7.69,1
100,0
100,1
100,1
41.73,1
80.79,1
45.5,1
52.9,1
11.25,1
44.71,1
100,1
9.09,1
100,0
100,0
100,1
100,0
100,0
0,1
64.12,1
100,1
100,0
100,1
100,1
100,1
60.22,1
100,0
100,1
38.49,1
100,1
0,1
100,1
100,0
4.03,1
72.1,0.75
