optimal_gap,success,objective_value
100,0,9.40081346101351E-14
72,1,0.0251406109333345
100,0,3.31235039396915E-13
18.75,1,0.541666666666659
60.18,1,0.0237163666115023
0,1,0.0591715976331333
17.21,1,0.599472614752644
14.96,1,1.4104425397936
0,1,1.15661068023992
0,1,4.0906875718076
0,1,3.38844402770458
100,0,-0.0191266021133862
60.23,1,0.186602467305654
0,1,0.193423597679919
1.85,1,0.890756302521011
10,1,0.0414746543778808
0.5,1,0.487745098039223
45.2,1,0.0704322628940197
0,0,-0.00272787332364856
0,1,1.11409395973154
0,0,-4.44994735504523E-13
0,1,7.7333333333326
0,1,1.0565293315383
0,1,1.26632556887034
0,1,4.05257418054223
0,1,7.80000000000028
60.43,1,0.0341602677692521
100,0,-2.62845301080006E-13
0,1,3.49460853258818
0,1,0.220338983050947
0,1,5.31711990479023
38.6,1,0.123456790126071
0,1,15.8823529411774
0,1,0.052631578947361
100,0,5.68989300120393E-14
20.61,1,0.0883039694332499
5.88,1,1.03225806451613
0,1,0.1543624161074
100,0,-8.95047924664993E-14
0,1,0.857142857147737
0,1,6
0,1,20
0,1,0.373853211015055
0,1,4.18181818181911
0,1,0.39755691282624
0,1,0.157683309055026
0,1,3.41292076102865
0,1,0.411674052832211
22.67,1,0.150529047714103
0,1,26
0,1,4.18599311136685
0,1,11
0,1,7
23.6,1,0.0543565147881715
2.09,1,5.07397041250891
0,1,15.5789473684212
0,1,4.69387755102192
0.89,1,9.21182324369237
3.48,1,1.69952123982587
0,1,6
0,1,4.7573770491809
0,1,14.0000000000009
0,1,2.61300384294506
0,1,2.96268419590598
0,1,0.724423660677671
0,1,1.68579575599921
27.82,1,0.159409020217735
0,1,8
100,0,7.69967423153162E-13
100,0,-0.0211829253128668
0,1,3
0,1,0.00158428390407694
2.82,1,0.882176870756672
0,1,4.00000000000182
4.72,1,7.9150377350715
0,1,7.31050719774771
0,1,1.50204883759826
0,1,2.82885240800386
0,1,5.33972804890987
0,1,1.21470937129554
29.61,1,0.0937904269081145
0,1,0.26470588235294
73.87,1,0.0317419880776608
0,1,0.415730337071171
0,1,0.3693877551021
0,1,0.398026315789476
22.83,1,0.305190861094237
0,1,1.29253926701918
0,1,3.28938867152343
0,1,13
0,1,0.0425531914884865
0,1,4.47067448680212
59.85,1,0.0184276213297948
1.4,1,1.07393042741239
0,1,1.84431137724028
17.73,1,0.230615563298468
0,1,5.50000000000007
0,1,3.45699831365997
0,1,4.00000000000299
25,1,0.287081339712916
15.4478,0.9,
