optimal_gap,success
100,1
100,0
100,1
12.5,1
100,0
60,1
46.97,1
0,1
0,1
0,1
23.97,1
100,0
96.5,1
47,1
4.63,1
100,1
23,1
65.05,1
0,0
0,1
0,1
0,1
0,1
37.29,1
0,1
0,1
100,1
100,1
0,1
92.31,1
0,1
100,1
0,1
100,0
50.49,1
0,1
29.41,1
100,1
100,0
16.67,1
0,1
0,1
0,1
0,1
65.92,1
100,1
0,1
62.32,1
56.82,1
0,1
3.4,1
0,1
0,1
50.56,1
0,1
0,1
0,1
0.35,1
0,1
0,1
0,1
0,1
21.36,1
10.58,1
68.77,1
37.12,1
49.3,1
0,1
6.45,1
100,0
0,1
100,1
0.84,1
0,1
2.28,1
0,1
0,1
0,1
0,1
21.15,1
74.76,1
6.94,1
68.04,1
22.97,1
0,1
46.01,1
18.93,1
7.97,1
0,1
0,1
100,0
0,1
100,0
7.73,1
0.43,1
100,1
0,1
0,1
0,1
17.5,1
31.3429,0.91
