optimal_gap,success,objective_value
100,0,4.44089209850063E-16
100,0,2.22044604925031E-16
52.7,1,0.21728673319247
100,0,-4.44089209850063E-16
49.09,1,0.174225087069502
54.55,1,0.0409849719665125
68,1,0.134491830291747
64.8,1,4.44592944940225
77.55,1,1.99999999999999
97.32,1,0.0237036597650615
100,0,-4.44089209850063E-16
37.21,1,0.125623747006884
34.99,1,1.79976601527662
80.1,1,0.0920870385042107
100,0,2.22044604925031E-16
100,0,2.22044604925031E-16
79.14,1,0.0267557998941648
0.38,1,3.4312620024797
100,0,4.44089209850063E-16
35.08,1,0.210291211800332
88.38,1,0.102247714189499
100,0,0
47.48,1,0.954239600135239
29.65,1,2.15857076235418
70.79,1,0.0465104371838727
74.69,1,0.390530355166725
100,0,-8.88178419700125E-16
11.11,1,6.63807954417148
100,0,4.44089209850063E-16
84.2,1,0.166667132605067
53.27,1,1.16058382682433
79.6,1,2
100,0,-8.88178419700125E-16
14.51,1,4.65062753173306
60.49,1,0.180546754220263
100,0,4.44089209850063E-16
100,0,0
18.3,1,2.59785528818873
70.25,1,0.240622353215596
100,0,4.44089209850063E-16
78.57,1,0.0283775100926675
28.79,1,0.377466534382425
100,0,-4.44089209850063E-16
26.71,1,0.283296388996504
65.1,1,0.154950672275252
36.31,1,0.296372606323544
20.77,1,2.94626386182147
43.77,1,3.99999999999999
57.18,1,0.0409097763515796
100,0,0
56.09,1,0.2288648732195
71.73,1,0.0213863901796891
100,0,0
52.63,1,9
100,0,2.22044604925031E-16
78.63,1,0.0936250417310589
39.45,1,9.97619047619047
10.96,1,1.78458861956604
100,0,-4.44089209850063E-16
80,1,4
74.34,1,0.0369785527259268
58,1,0.0302071072672412
100,0,2.22044604925031E-16
24.63,1,0.168202512765689
80,1,0.275680009331765
10.44,1,0.585744737855535
33.76,1,2.81363260455838
18.48,1,0.326776919579377
75.43,1,0.170541370950367
97.03,1,0.0238740149276495
3.78,1,4.17804496797752
81.42,1,0.178541051465455
60.6,1,0.0594431014226799
18.87,1,2.62316783283502
65.95,1,0.0587116219765562
49.7,1,0.145284037531692
5.72,1,4.00220632554544
66.6,1,4
100,0,-4.44089209850063E-16
50,1,0.0304809731894089
65.83,1,0.455836320650288
59.34,1,0.0454204268887075
100,0,2.22044604925031E-16
44.59,1,0.185446584661534
71.3,1,0.237475136985552
10.78,1,3.01490068577343
54.6,1,0.208785553182571
90.96,1,0.0720189300415477
80.61,1,0.0475285090252946
83.19,1,0.0294397666235895
57.12,1,6.69548872180451
85.27,1,0.123881582130942
18.29,1,2.48141452126259
100,0,0
100,0,4.44089209850063E-16
100,0,-8.88178419700125E-16
100,0,4.44089209850063E-16
5.8,1,10.0347394540943
100,0,2.22044604925031E-16
78.45,1,0.107185565242624
65.612,,
