optimal_gap,success
100,1
100,1
100,0
54.55,1
21.78,1
100,1
0,1
0,1
16.67,1
100,1
73.17,1
38.97,1
0,1
0,1
0,1
50,1
66.67,1
0,1
0,1
0,1
100,1
60,1
0,1
0,1
19.27,1
41.54,1
100,1
33.33,1
100,1
20,1
0,1
100,0
92.44,1
0,1
20,1
50,1
46.67,1
0,1
100,0
20,1
100,1
43.66,1
100,1
54.55,1
50,1
100,1
100,0
44.44,1
100,0
100,0
0,1
100,0
100,1
24.73,1
100,0
100,0
100,0
100,0
11.11,1
100,1
11.11,1
100,0
100,1
100,0
66.45,1
100,1
100,0
100,0
50,1
100,1
33.33,1
30.51,1
0,1
87.3,1
100,1
0,1
14.29,1
100,1
0,1
90,1
0,1
3.7,1
41.03,1
100,1
100,1
100,1
100,1
0,1
0,1
40,1
44.9,1
100,0
48.24,1
50,1
100,0
0,1
90.48,1
0,1
66.67,1
58.08,1
55.7964,0.83
