optimal_gap,success,objective_value
100,0,-91.8160881382497
100,0,-88.3098271934801
21.65,1,0.359947885931504
100,0,-98.8890470981213
8.84,1,0.312007367980208
54.55,1,0.0409849719665125
8.77,1,0.383442225370313
64.8,1,4.44592944940225
77.55,1,1.99999999999999
11.06,1,0.787226984268205
100,0,-74.140883559245
27.35,1,0.145359015907282
0,1,2.76845199282311
11.68,1,0.408684029050399
100,0,-102.575315221015
100,0,-92.357100411486
17.69,1,0.105577863641887
0.38,1,3.4312620024797
100,0,-93.5425396384402
19.66,1,0.260250981393405
10.59,1,0.786976174456338
100,0,-95.0999189393363
0,1,1.81686871306139
2.26,1,2.99916114106013
47.43,1,0.0837198239205144
1.29,1,1.52319921978739
100,0,-89.138454494528
1.46,1,7.3587236865976
100,0,-83.5047753517007
12.17,1,0.926480260936167
2.09,1,2.43172117021654
79.6,1,2
100,0,-109.496943085323
4.34,1,5.20385445267348
60.49,1,0.180546754220263
100,0,-86.4075507616346
100,0,-84.3583136090724
4.12,1,3.04872318828733
11.44,1,0.716349613003299
100,0,-105.499305685278
57.28,1,0.0565653394871291
18.26,1,0.433299439930575
100,0,-94.2222266238467
26.71,1,0.283296388996504
0,1,0.44403756644591
17.95,1,0.381848426125622
7.41,1,3.44330166921559
43.77,1,3.99999999999999
45.5,1,0.0520689185226857
100,0,-90.4401801838428
5.42,1,0.492996437648923
28.05,1,0.0544290115262278
100,0,-89.346337795701
52.63,1,9
100,0,-99.5033587900867
2.43,1,0.427439654308923
39.45,1,9.97619047619047
0.86,1,1.98717241573389
100,0,-87.440664154582
40,1,12
60.73,1,0.0565957263339421
46.06,1,0.0387936192727167
100,0,-94.8123184683618
20.13,1,0.178249923265142
17.17,1,1.14182366574989
10.44,1,0.585744737855535
4.91,1,4.03928540236337
18.48,1,0.326776919579377
25.61,1,0.516299136125287
25,1,0.603854508225503
3.78,1,4.17804496797752
16.26,1,0.804931182341033
2.25,1,0.147460452530563
15.61,1,2.72857561440855
32.2,1,0.116893004967341
22.87,1,0.222771853974972
0,1,4.24482879516006
66.6,1,4
100,0,-100.551114281338
0,1,0.0609619463788178
17.94,1,1.09471395844446
42.75,1,0.0639558399918236
100,0,-85.1714172506869
7.02,1,0.311174649420646
10.15,1,0.743398970999596
0,1,3.37911863092345
11.82,1,0.405513254009591
31.71,1,0.543948256701299
35.71,1,0.15761565064463
48.84,1,0.0896119174756116
57.12,1,6.69548872180451
14.17,1,0.721889634781004
3.39,1,2.93381019918515
100,0,-85.5278328821047
100,0,-84.2797350930798
100,0,-90.691969728631
100,0,-94.6829996672598
2.08,1,10.4308755760369
100,0,-102.410033623838
26.94,1,0.363326289875388
43.4472,0.73,
