optimal_gap,success
50,1
0,1
16.67,1
0,1
0,1
33.33,1
0,1
0,1
0,1
0,1
0,1
1.65,1
0,1
0,1
0,1
50,1
0,1
0,1
0,1
0,1
48,1
0,1
0,1
0,1
0,1
0,1
60,1
0,1
61.54,1
0,1
0,1
13.04,1
25.21,1
0,1
0,1
0,1
0,1
0,1
100,0
0,1
0,1
43.66,1
100,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
28.57,1
0,1
25,1
89.66,1
26.56,1
0,1
0,1
0,1
0,1
12,1
0,1
0,1
8.1,1
0,1
0,1
0,1
0,1
65.22,1
33.33,1
0,1
0,1
0,1
0,1
0,1
0,1
75,1
0,1
0,1
0,1
25.93,1
0,1
0,1
80,1
0,1
0,1
0,1
0,1
0,1
2.04,1
71.11,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
11.4562,0.99
