optimal_gap,success
100,1
100,0
100,0
100,0
100,1
100,1
100,1
50.8,1
85.24,1
100,0
100,0
100,0
69.27,1
100,0
100,0
100,0
100,0
72.02,1
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,1
38.04,1
100,1
100,0
91.63,1
43.28,1
100,1
55.12,1
100,1
100,0
100,1
97.64,1
100,0
100,1
100,1
100,1
100,1
100,1
100,0
100,0
100,1
22.99,1
100,0
100,0
100,1
100,1
100,1
10.53,1
100,1
100,1
34.83,1
96.25,1
100,1
30,1
100,0
100,0
100,0
100,0
100,0
100,1
67.23,1
100,1
100,1
100,0
100,0
89.37,1
100,1
100,1
100,1
100,0
76.74,1
36.25,1
100,0
100,0
100,1
100,0
100,0
100,1
100,1
64.38,1
100,1
100,1
100,0
100,1
33.47,1
100,0
100,1
100,1
100,1
100,0
100,0
32.66,1
100,1
100,1
90.9774,0.59
