optimal_gap,success,objective_value
0,1,0.800000000000006
0,1,1
100,0,-8.87623308187813E-14
0,1,0.564102564102566
0,1,2.34883720930232
0,1,0.200000000000001
0,1,2.28571428571429
0,1,0.0869565217391513
16.67,1,5
0,1,0.0270270270270285
0,1,1.56190476190443
0,1,1.19753086419748
0,1,10
33.33,1,4
0,1,4
0,1,0.666666666667583
0,1,1.5
0,1,1.00000000000009
0,1,2.00000000000011
14.29,1,6
0,1,0.546448087431697
20,1,4
0,1,2
0,1,1.33333333333334
36.7,1,4.6
0,1,3.61111111111104
40,1,0.222222222222234
0,1,1
46.15,1,0.225806451612897
0,1,2.85714285714285
0,1,2.00000000000007
0,1,1.91666666666667
0,1,0.891385767789852
0,1,6
0,1,2.0000000000001
0,1,1.2
0,1,6.31578947368432
0,1,2.5
0,1,0.499999999999997
0,1,5
0,1,0.0835654596100301
19.72,1,0.423791821561336
0,1,0.00399201596804205
0,1,1.8333333333333
16.67,1,5
0,1,0.500000000000001
0,1,1.85714285714286
22.22,1,7
0,1,0.571428571428572
4.12,1,0.744292237442901
0,1,4
100,0,0
0,1,0.583333333333333
2.15,1,3.63999999999987
0,1,0.250000000000004
0,1,0.610526315789464
47.4,1,0.18222823635541
0,1,1
0,1,0.947368421052632
0,1,0.36363636363637
0,1,9
4,1,0.52173913043478
0,1,1.00000000000009
0,1,2
0,1,4.46277336391189
0,1,0.666666666666731
7.01,1,0.700973574408902
0,1,0.500000000000005
0,1,0.800000000000008
73.91,1,0.109090909090911
0,1,0.115384615383363
0,1,3.10526315789475
0,1,0.352941176470881
0,1,1.26
57.14,1,0.0269058295964193
71.43,1,2
42.86,1,2
0,1,0.444444444444442
0,1,5
60,1,0.173493975903611
60,1,4
0,1,1.92857142857143
0,1,1.67142857142857
0,1,0.937499999999949
80,1,0.100000000000473
0,1,0.190476190476192
0,1,2
0,1,1.66666666666667
0,1,2.2
20,1,4
0,1,2.04166666666668
0,1,0.471204188480671
0,1,1.54545454545455
0,1,3
0,1,0.153846153846155
30,1,7
30.95,1,0.278846153846164
50,1,2
0,1,0.36585365853651
0,1,1.85555555555556
11.0672,0.98,
