optimal_gap,success
100,1
100,0
100,1
100,1
100,0
100,1
100,1
64.63,1
100,1
92.22,1
100,0
100,0
100,1
68,1
84.26,1
100,1
91,1
100,0
0,0
100,0
0,1
3.45,1
41.23,1
100,0
55.2,1
0,1
100,1
100,1
60.77,1
100,0
41.66,1
100,1
1.48,1
100,1
100,0
100,1
100,0
100,0
100,0
33.33,1
0,1
0,1
100,0
73.91,1
100,0
100,0
41.47,1
100,0
100,1
0,1
37.25,1
0,1
57.14,1
100,0
29.07,1
11.49,1
33.04,1
0.35,1
100,0
33.33,1
100,0
4.76,1
54.03,1
57.34,1
100,1
100,0
100,0
12.5,1
100,0
100,0
73.33,1
100,0
100,0
21.13,1
21.06,1
25.43,1
68.23,1
43.71,1
17.05,1
54.94,1
100,0
20.83,1
100,0
100,1
100,0
100,0
0,1
100,1
53.8,1
7.69,1
100,0
32.27,1
100,1
100,0
63.85,1
100,0
81.82,1
7.56,1
0,1
100,0
67.7561,0.66
