s_hat,z,rhs,violation
"[[5], [4, 7, 9, 15, 25, 26, 27, 29, 43, 46, 50, 64, 72], [3, 4, 7, 9, 10, 18, 22, 25, 27, 29, 33, 39, 43, 46, 49, 50, 58, 60, 62, 64, 68, 69, 70, 72, 74], [3, 4, 6, 7, 9, 10, 12, 18, 21, 22, 25, 27, 28, 29, 33, 38, 39, 41, 42, 43, 46, 49, 50, 51, 53, 58, 60, 62, 64, 68, 69, 70, 71, 72, 74, 76], [3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 37, 38, 39, 41, 43, 46, 47, 49, 50, 51, 52, 53, 58, 59, 60, 62, 64, 67, 68, 69, 70, 71, 72, 74], [2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 52, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75]]","[2.0, 4.0, 6.000000000000001, 8.000000000000002, 10.0, 11.981818181818172]","[2, 4, 6, 8, 10, 12]","[0.0, 0.0, -8.881784197001252e-16, -1.7763568394002505e-15, 0.0, 0.01818181818182829]"
"[[5], [20, 27, 37, 46, 47, 65, 68], [15, 20, 27, 32, 37, 38, 46, 47, 48, 57, 59, 64, 65, 68], [8, 11, 15, 20, 23, 27, 30, 32, 33, 37, 38, 41, 46, 47, 48, 57, 59, 64, 65, 68, 69, 71], [8, 11, 15, 17, 20, 23, 27, 30, 32, 33, 34, 36, 37, 38, 40, 41, 42, 44, 46, 47, 48, 57, 59, 60, 64, 65, 68, 69, 71], [4, 6, 8, 11, 15, 17, 19, 20, 23, 25, 26, 27, 30, 31, 32, 33, 36, 37, 38, 41, 42, 44, 46, 47, 48, 49, 50, 51, 56, 57, 59, 60, 64, 65, 66, 68, 69, 71, 75], [5, 6, 8, 9, 10, 11, 12, 13, 15, 17, 18, 19, 20, 22, 23, 25, 27, 29, 30, 31, 32, 33, 37, 38, 41, 42, 45, 46, 47, 48, 49, 50, 51, 57, 59, 61, 63, 64, 65, 66, 68, 69, 71, 72, 74, 75], [4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 37, 38, 41, 42, 45, 46, 47, 48, 49, 50, 51, 54, 56, 57, 58, 59, 61, 63, 64, 65, 66, 68, 69, 71, 72, 74, 75], [2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 37, 38, 39, 41, 42, 43, 45, 46, 47, 48, 49, 50, 51, 53, 54, 56, 57, 58, 59, 61, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 74, 75], [2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 37, 38, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 59, 61, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 74, 75, 76]]","[2.0, 4.0, 5.999999999999999, 7.9999999999999964, 9.966186524525567, 11.973816506074584, 13.955891397552346, 15.963499095276745, 17.956038470794834, 19.910200643556863]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]","[0.0, 0.0, 8.881784197001252e-16, 3.552713678800501e-15, 0.033813475474433474, 0.026183493925415746, 0.04410860244765402, 0.036500904723254735, 0.04396152920516627, 0.08979935644313741]"
"[[5], [5, 8, 11, 14, 38, 45, 48, 55, 75], [6, 9, 10, 13, 19, 24, 27, 28, 37, 42, 43, 54, 57, 61, 65, 69, 72, 73], [2, 6, 9, 10, 12, 13, 20, 21, 24, 27, 28, 30, 32, 34, 36, 37, 42, 43, 54, 57, 61, 64, 65, 66, 69, 72, 73, 74], [3, 4, 5, 8, 10, 11, 13, 14, 15, 17, 19, 22, 24, 27, 31, 33, 37, 38, 39, 41, 43, 45, 47, 48, 50, 51, 55, 56, 62, 65, 67, 69, 70, 71, 72, 75, 76], [2, 5, 6, 8, 9, 10, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 32, 34, 36, 37, 39, 40, 41, 42, 43, 44, 45, 48, 52, 54, 55, 57, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 72, 73, 74, 75], [2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 22, 23, 24, 27, 28, 30, 31, 32, 33, 37, 38, 39, 41, 42, 43, 45, 47, 48, 50, 51, 52, 54, 55, 56, 57, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 22, 23, 24, 25, 27, 28, 30, 31, 32, 33, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[2.0, 3.999999999999991, 6.000000000000002, 7.992573569717596, 9.999999999999998, 12.000000000000005, 13.973816013756522, 15.955741779489784]","[2, 4, 6, 8, 10, 12, 14, 16]","[0.0, 8.881784197001252e-15, -1.7763568394002505e-15, 0.007426430282404084, 1.7763568394002505e-15, -5.329070518200751e-15, 0.02618398624347762, 0.04425822051021555]"
"[[5], [11, 12, 22, 23, 37, 42, 43, 44, 48, 51, 52, 55, 62, 63, 68, 72, 74, 76], [2, 4, 5, 6, 7, 8, 9, 10, 15, 16, 21, 25, 27, 28, 29, 32, 34, 35, 40, 41, 46, 50, 53, 54, 56, 57, 58, 60, 70, 71], [2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 18, 19, 21, 25, 27, 28, 29, 30, 32, 33, 34, 35, 38, 40, 41, 45, 46, 50, 53, 54, 56, 57, 58, 60, 61, 65, 69, 70, 71, 75], [2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 21, 22, 23, 25, 27, 28, 29, 30, 32, 34, 35, 37, 38, 40, 41, 42, 43, 44, 45, 46, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 60, 61, 62, 63, 64, 68, 70, 71, 72, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 60, 61, 62, 63, 64, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[2.0, 3.7916666666666687, 5.624999999999997, 7.333333333333337, 9.416666666666666, 11.791666666666654]","[2, 4, 6, 8, 10, 12]","[0.0, 0.20833333333333126, 0.37500000000000266, 0.6666666666666634, 0.5833333333333339, 0.20833333333334636]"
"[[5], [21, 39, 56, 65], [2, 7, 10, 19, 22, 59, 76], [2, 7, 10, 13, 19, 45, 57, 59, 61, 76], [2, 7, 10, 19, 22, 36, 45, 49, 59, 61, 73, 76], [2, 7, 10, 13, 19, 22, 27, 34, 36, 42, 45, 49, 57, 58, 59, 61, 69, 76], [2, 3, 5, 7, 8, 10, 13, 19, 22, 28, 36, 38, 43, 45, 49, 59, 61, 70, 72, 73, 76], [2, 3, 7, 8, 10, 13, 19, 22, 32, 36, 38, 39, 44, 45, 49, 54, 56, 57, 59, 61, 65, 70, 72, 73, 76], [3, 4, 6, 8, 9, 10, 11, 17, 20, 21, 22, 30, 31, 32, 36, 38, 39, 40, 44, 46, 48, 49, 50, 54, 56, 60, 64, 65, 67, 71], [2, 3, 5, 7, 8, 10, 13, 19, 22, 27, 32, 34, 36, 37, 38, 42, 45, 49, 54, 56, 57, 58, 59, 61, 68, 69, 70, 72, 73, 74, 75, 76], [2, 5, 7, 10, 12, 13, 15, 18, 19, 22, 25, 27, 29, 34, 36, 37, 38, 41, 42, 45, 47, 49, 51, 52, 55, 57, 58, 59, 61, 62, 63, 68, 69, 70, 72, 73, 76], [2, 5, 7, 10, 12, 13, 15, 16, 18, 19, 22, 25, 27, 29, 33, 34, 36, 37, 38, 41, 42, 45, 47, 49, 51, 52, 55, 57, 58, 59, 61, 62, 63, 68, 69, 70, 72, 73, 74, 76], [2, 3, 5, 7, 8, 10, 13, 15, 16, 18, 19, 22, 25, 27, 32, 34, 36, 37, 38, 39, 41, 42, 43, 44, 45, 47, 49, 51, 52, 54, 55, 56, 57, 58, 59, 61, 63, 65, 68, 69, 70, 72, 73, 74, 75, 76], [2, 3, 5, 7, 8, 9, 10, 11, 13, 17, 19, 20, 21, 22, 24, 27, 28, 30, 31, 32, 34, 36, 38, 39, 40, 42, 43, 44, 45, 46, 48, 49, 50, 54, 56, 57, 59, 60, 61, 64, 65, 67, 70, 71, 72, 73, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 17, 19, 20, 21, 22, 24, 26, 28, 30, 31, 32, 36, 38, 39, 40, 42, 43, 44, 45, 46, 48, 49, 50, 52, 54, 55, 56, 57, 59, 60, 61, 64, 65, 67, 70, 71, 72, 73, 75, 76], [2, 3, 5, 7, 8, 10, 11, 13, 15, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29, 30, 31, 32, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 54, 56, 57, 58, 59, 61, 62, 63, 65, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 62, 63, 65, 68, 69, 70, 71, 72, 73, 74, 76], [2, 3, 5, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[2.0, 4.0, 5.999999999999999, 7.982136706512827, 9.99681933804284, 11.964609851839025, 13.996961759134905, 15.963614874109826, 17.957906760238785, 19.956106686941155, 21.971374263369647, 23.94955241234307, 25.96503210824707, 27.955991541600117, 29.94043786653505, 31.95290179881338, 33.97084155911111, 35.95435660656052, 37.98288893005717]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38]","[0.0, 0.0, 8.881784197001252e-16, 0.017863293487173415, 0.003180661957159714, 0.03539014816097463, 0.0030382408650950765, 0.03638512589017395, 0.04209323976121482, 0.04389331305884525, 0.02862573663035306, 0.05044758765692947, 0.034967891752931024, 0.04400845839988321, 0.05956213346495076, 0.047098201186621225, 0.0291584408888923, 0.045643393439476654, 0.017111069942828294]"
"[[5], [2, 5, 7, 8, 10, 14, 24, 32, 38, 43, 47, 51, 56, 68, 69], [2, 4, 5, 6, 7, 9, 12, 15, 18, 21, 22, 25, 28, 29, 33, 34, 39, 42, 47, 50, 53, 54, 57, 61, 65, 66, 67, 68, 72, 75], [2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 15, 16, 18, 21, 22, 23, 24, 25, 27, 28, 29, 33, 34, 36, 37, 39, 41, 42, 44, 47, 50, 53, 54, 57, 58, 61, 63, 65, 66, 67, 68, 71, 72, 73, 75], [2, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 29, 31, 32, 33, 35, 37, 38, 40, 41, 43, 44, 47, 48, 50, 51, 52, 53, 54, 55, 56, 57, 58, 60, 61, 64, 65, 67, 68, 69, 71, 73, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58, 60, 61, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 75, 76]]","[2.0, 3.999999999999994, 5.999999999999997, 7.988165680473387, 9.952662721893489, 11.940828402366872]","[2, 4, 6, 8, 10, 12]","[0.0, 6.217248937900877e-15, 2.6645352591003757e-15, 0.011834319526612624, 0.047337278106510894, 0.05917159763312796]"
"[[5], [10, 13, 24, 27, 37, 43, 65, 69], [3, 4, 5, 8, 11, 14, 15, 31, 38, 45, 47, 48, 55, 56, 71, 75], [3, 4, 5, 8, 11, 14, 15, 19, 24, 27, 31, 38, 39, 41, 45, 47, 48, 50, 51, 55, 56, 62, 67, 71, 75, 76], [2, 5, 8, 9, 10, 11, 13, 14, 17, 19, 20, 22, 23, 24, 27, 37, 38, 39, 40, 41, 42, 43, 45, 47, 48, 52, 54, 55, 57, 60, 62, 63, 65, 67, 68, 69, 72, 74, 75, 76], [2, 5, 8, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 22, 23, 24, 26, 27, 29, 32, 34, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 52, 54, 55, 57, 60, 62, 63, 64, 65, 66, 67, 68, 69, 72, 74, 75, 76], [2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29, 31, 32, 34, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 50, 51, 52, 54, 55, 56, 57, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 71, 72, 74, 75, 76], [2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29, 31, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 74, 75, 76]]","[2.0, 3.8816969022824863, 5.846824101652166, 7.8468241016521665, 9.807321434234185, 11.570778661631877, 13.438864048279418, 15.275901518976857]","[2, 4, 6, 8, 10, 12, 14, 16]","[0.0, 0.11830309771751368, 0.1531758983478344, 0.15317589834783352, 0.19267856576581543, 0.42922133836812293, 0.5611359517205816, 0.7240984810231428]"
"[[5], [14, 24, 32, 48, 63, 68, 69, 74], [14, 24, 28, 32, 45, 48, 62, 63, 65, 68, 69, 71, 72, 74], [3, 4, 6, 8, 13, 15, 16, 18, 21, 23, 25, 27, 34, 35, 39, 40, 43, 47, 50, 51, 53, 58, 59, 60, 64, 66, 70, 76], [2, 3, 4, 6, 8, 9, 10, 13, 15, 16, 18, 20, 21, 23, 25, 27, 30, 31, 34, 35, 38, 39, 40, 42, 43, 47, 50, 51, 53, 57, 58, 59, 60, 64, 66, 70, 76], [2, 3, 4, 6, 8, 9, 10, 13, 15, 16, 17, 18, 20, 21, 23, 25, 27, 28, 31, 34, 35, 36, 37, 38, 39, 40, 42, 43, 45, 47, 50, 51, 53, 57, 58, 59, 60, 64, 65, 66, 70, 71, 72, 73, 75, 76], [2, 3, 4, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 43, 45, 47, 48, 50, 51, 53, 57, 58, 59, 60, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76], [2, 3, 4, 6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 27, 28, 31, 32, 34, 35, 36, 37, 38, 39, 40, 42, 43, 45, 47, 48, 50, 51, 52, 53, 54, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 55, 56, 57, 58, 59, 60, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76]]","[2.0, 3.6436723806192095, 5.389080811614486, 7.0960512506559414, 9.024269721882112, 10.974571453559566, 12.946016267273055, 14.722363127514434, 16.341459681651216]","[2, 4, 6, 8, 10, 12, 14, 16, 18]","[0.0, 0.3563276193807905, 0.6109191883855143, 0.9039487493440586, 0.9757302781178883, 1.025428546440434, 1.0539837327269446, 1.2776368724855658, 1.6585403183487841]"
"[[5], [2, 8, 19, 20, 31, 35, 36, 40, 44, 54, 56, 59], [3, 4, 7, 10, 12, 18, 22, 25, 27, 29, 33, 39, 43, 49, 50, 58, 60, 62, 64, 68, 69, 70, 72, 74], [3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 18, 22, 25, 26, 27, 29, 30, 32, 33, 39, 41, 43, 46, 47, 49, 50, 51, 52, 53, 58, 60, 62, 64, 68, 69, 70, 72, 74], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 22, 23, 25, 26, 27, 29, 30, 32, 33, 35, 39, 40, 43, 44, 46, 47, 49, 50, 51, 52, 53, 54, 56, 58, 59, 60, 62, 64, 67, 68, 69, 70, 72, 74], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 39, 40, 43, 44, 45, 46, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 72, 73, 74, 75, 76]]","[2.0, 3.635029023440893, 5.437573041521391, 7.437920743309153, 9.326327786202036, 10.843389319760083]","[2, 4, 6, 8, 10, 12]","[0.0, 0.36497097655910693, 0.5624269584786088, 0.562079256690847, 0.673672213797964, 1.1566106802399165]"
"[[5], [5, 11, 15, 26, 36, 38, 42, 62, 68], [2, 8, 9, 10, 14, 19, 20, 25, 35, 37, 48, 52, 57, 58, 66, 67, 69, 70], [2, 5, 8, 9, 10, 11, 14, 15, 19, 20, 25, 26, 35, 37, 38, 42, 48, 52, 57, 58, 62, 66, 67, 69, 70], [2, 5, 8, 9, 10, 11, 14, 15, 19, 20, 21, 22, 25, 26, 27, 35, 36, 37, 38, 42, 48, 52, 57, 58, 59, 62, 64, 66, 67, 68, 69, 70, 71, 76], [2, 5, 6, 8, 9, 10, 11, 13, 14, 15, 18, 19, 23, 24, 25, 26, 28, 31, 32, 35, 36, 38, 39, 40, 42, 46, 47, 48, 49, 50, 53, 54, 57, 58, 60, 61, 62, 63, 65, 66, 67, 68, 69, 70, 74], [2, 5, 6, 8, 9, 10, 11, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 35, 36, 37, 38, 39, 40, 42, 46, 47, 48, 49, 50, 52, 53, 54, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 74, 76], [2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 74, 76], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 76]]","[2.0, 3.1686613244864494, 4.915529001123654, 6.069449637601275, 7.007547100178964, 8.59329472538209, 9.909312428192791, 12.222370921861147, 15.356079198420462]","[2, 4, 6, 8, 10, 12, 14, 16, 18]","[0.0, 0.8313386755135506, 1.0844709988763457, 1.9305503623987246, 2.9924528998210356, 3.4067052746179094, 4.090687571807209, 3.777629078138853, 2.6439208015795383]"
