s_hat,z,rhs,violation
"[[45], [8, 12, 23, 24, 28, 31, 33, 37, 39, 47], [3, 5, 8, 12, 13, 22, 23, 24, 28, 31, 33, 34, 37, 39, 41, 47, 49], [3, 5, 6, 8, 12, 13, 14, 19, 21, 22, 23, 24, 28, 30, 31, 33, 34, 36, 37, 38, 39, 41, 47, 49, 50], [2, 3, 4, 5, 6, 7, 8, 12, 13, 14, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28, 30, 31, 33, 34, 36, 37, 39, 41, 44, 45, 46, 47, 49, 50], [2, 3, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[1.9999999999999998, 3.352380952380953, 5.066666666666666, 6.533333333333335, 8.476190476190473, 10.438095238095238, 14.000000000000007]","[2, 4, 6, 8, 10, 12, 14]","[2.220446049250313e-16, 0.6476190476190471, 0.9333333333333336, 1.466666666666665, 1.5238095238095273, 1.5619047619047617, -7.105427357601002e-15]"
"[[45], [8, 12, 24, 30, 31, 33, 37, 39, 47, 50], [8, 12, 14, 17, 20, 21, 23, 24, 28, 29, 30, 31, 33, 36, 37, 39, 47, 50], [2, 4, 7, 8, 12, 14, 17, 20, 21, 23, 24, 25, 26, 28, 29, 30, 31, 33, 36, 37, 39, 44, 45, 47, 50], [3, 5, 6, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 22, 23, 24, 27, 28, 29, 30, 31, 33, 34, 36, 37, 38, 39, 41, 42, 43, 47, 49, 50], [2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 20, 21, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 44, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.5098765432098773, 5.269135802469133, 7.006172839506172, 8.802469135802466, 10.822222222222223, 13.999999999999998]","[2, 4, 6, 8, 10, 12, 14]","[0.0, 0.4901234567901227, 0.7308641975308667, 0.9938271604938276, 1.1975308641975335, 1.1777777777777771, 1.7763568394002505e-15]"
"[[2, 11, 14, 15, 21, 24, 35, 41, 50], [2, 11, 14, 15, 21, 24, 26, 35, 41, 43, 48, 50], [3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 20, 21, 22, 23, 25, 26, 27, 30, 32, 33, 34, 36, 37, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 51], [3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 20, 21, 22, 23, 25, 26, 27, 30, 32, 33, 34, 36, 37, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 30, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2, 4, 8, 8, 10]","[2.0, 4.0, 8.0, 8.0, 10.0]"
"[[9, 23, 32, 46], [2, 8, 9, 15, 16, 18, 23, 32, 37, 41, 44, 46, 47, 51], [2, 8, 9, 13, 15, 16, 18, 19, 23, 26, 29, 32, 37, 41, 43, 44, 46, 47, 48, 51], [2, 3, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 21, 22, 23, 24, 27, 31, 32, 33, 34, 35, 37, 39, 40, 41, 44, 45, 46, 47, 49, 50, 51], [2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 26, 27, 29, 31, 32, 33, 34, 35, 37, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[0.0, 0.0, 2.0, 2.0, 4.0]","[2, 4, 6, 8, 10]","[2.0, 4.0, 4.0, 6.0, 6.0]"
"[[12, 14, 18, 31, 44, 48], [12, 14, 18, 27, 31, 43, 44, 45, 48, 50], [5, 12, 14, 18, 19, 25, 27, 31, 37, 38, 39, 41, 43, 44, 45, 48, 50, 51], [3, 8, 11, 12, 14, 18, 24, 26, 27, 28, 29, 31, 34, 36, 38, 42, 43, 44, 45, 47, 48, 49, 50], [2, 3, 7, 8, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31, 34, 35, 36, 38, 40, 42, 43, 44, 45, 47, 48, 49, 50], [2, 3, 5, 7, 8, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51]]","[0.0, 0.0, 1.9999999999999998, 4.0, 6.0, 8.0]","[2, 4, 6, 8, 10, 12]","[2.0, 4.0, 4.0, 4.0, 4.0, 4.0]"
"[[45], [8, 12, 14, 23, 28, 30, 33, 37, 47, 50], [2, 3, 4, 8, 12, 14, 17, 20, 23, 24, 28, 30, 31, 33, 36, 37, 39, 47, 50], [2, 4, 7, 8, 9, 12, 14, 17, 20, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 36, 37, 39, 44, 45, 46, 47, 50], [2, 3, 4, 5, 6, 7, 8, 12, 13, 14, 17, 18, 20, 22, 23, 24, 25, 28, 29, 30, 31, 32, 33, 34, 36, 37, 38, 39, 41, 44, 45, 46, 47, 49, 50], [2, 3, 4, 5, 6, 7, 8, 12, 13, 14, 15, 17, 18, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50], [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.999999999999996, 5.999999999999998, 8.00000000000001, 10.000000000000004, 11.333333333333337, 14.000000000000007]","[2, 4, 6, 8, 10, 12, 14]","[0.0, 3.9968028886505635e-15, 1.7763568394002505e-15, -1.0658141036401503e-14, -3.552713678800501e-15, 0.6666666666666625, -7.105427357601002e-15]"
"[[45], [3, 6, 7, 12, 17, 27, 34, 39, 40, 45, 49], [2, 3, 6, 7, 8, 12, 15, 16, 17, 18, 24, 27, 30, 34, 35, 36, 37, 39, 40, 41, 44, 45, 47, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 20, 23, 24, 25, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 45, 46, 47, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.000000000000006, 4.5000000000000036, 6.500000000000005, 8.500000000000005]","[2, 4, 6, 8, 10]","[0.0, 0.9999999999999938, 1.4999999999999964, 1.4999999999999947, 1.4999999999999947]"
"[[45], [3, 11, 15, 18, 20, 21, 23, 28, 29, 30, 33, 34, 35, 39, 44, 45, 47, 48], [2, 4, 5, 6, 10, 12, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 26, 27, 29, 31, 32, 33, 34, 35, 36, 38, 42, 44, 45, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.000000000000001, 3.500000000000002, 5.0, 7.999999999999999]","[2, 4, 6, 8]","[-8.881784197001252e-16, 0.4999999999999978, 1.0, 8.881784197001252e-16]"
"[[45], [6, 7, 10, 18, 22, 26, 28, 29, 35, 37, 38, 42, 44, 45, 47], [3, 6, 7, 9, 10, 13, 14, 15, 17, 18, 22, 24, 26, 28, 29, 30, 32, 33, 35, 36, 37, 38, 42, 43, 44, 45, 49, 50], [2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]]","[2.0, 2.451612903225807, 4.0, 6.322580645161294]","[2, 4, 6, 8]","[0.0, 1.548387096774193, 2.0, 1.6774193548387064]"
"[[20, 36, 46], [19, 20, 30, 36, 40, 46, 49], [3, 4, 5, 9, 14, 18, 19, 20, 23, 25, 28, 29, 30, 31, 34, 36, 38, 40, 42, 43, 46, 49, 51], [3, 4, 5, 9, 14, 18, 19, 20, 23, 25, 28, 29, 30, 31, 34, 36, 38, 40, 42, 43, 46, 49, 51], [3, 4, 5, 8, 9, 11, 14, 15, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 38, 39, 40, 41, 42, 43, 46, 49, 51], [3, 4, 5, 8, 9, 11, 13, 14, 15, 16, 18, 19, 20, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 38, 39, 40, 41, 42, 43, 45, 46, 49, 51], [3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 49, 51], [2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51]]","[0.0, 2.0, 1.9999999999999998, 1.9999999999999998, 3.9999999999999996, 4.999999999999999, 8.0, 11.999999999999998]","[2, 4, 8, 8, 10, 12, 14, 16]","[2.0, 2.0, 6.0, 6.0, 6.0, 7.000000000000001, 6.0, 4.000000000000002]"
"[[45], [12, 16, 19, 30, 33, 39, 46], [8, 12, 16, 19, 20, 30, 32, 33, 39, 46, 50], [2, 4, 13, 18, 21, 24, 31, 35, 36, 43, 45, 48], [2, 4, 13, 18, 21, 22, 23, 24, 27, 31, 35, 36, 43, 45, 48], [2, 4, 5, 13, 18, 21, 22, 23, 24, 27, 31, 35, 36, 38, 40, 41, 43, 45, 48], [2, 5, 9, 10, 13, 15, 18, 21, 22, 23, 24, 26, 27, 31, 34, 35, 36, 38, 41, 43, 44, 45, 51], [2, 4, 5, 9, 10, 13, 15, 18, 21, 22, 23, 24, 26, 27, 29, 31, 34, 35, 36, 38, 40, 41, 43, 44, 45, 48, 51], [2, 3, 4, 7, 9, 11, 13, 14, 16, 18, 19, 21, 22, 23, 24, 27, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39, 40, 41, 43, 45, 46, 47, 48, 49, 50], [2, 3, 4, 5, 7, 8, 9, 10, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 40, 41, 43, 44, 45, 46, 47, 48, 49, 50, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]]","[2.0, 3.8797814207650276, 5.781420765027317, 7.704918032786886, 9.704918032786889, 11.715846994535523, 13.693989071038253, 15.453551912568306, 17.82513661202186, 19.759562841530066, 21.781420765027324, 23.737704918032783]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24]","[0.0, 0.12021857923497237, 0.21857923497268317, 0.29508196721311375, 0.2950819672131111, 0.28415300546447675, 0.3060109289617472, 0.5464480874316937, 0.17486338797813872, 0.24043715846993408, 0.21857923497267606, 0.26229508196721696]"
"[[2, 6, 8, 15, 24, 27, 31, 33, 45], [2, 7, 10, 11, 15, 20, 21, 22, 23, 24, 25, 29, 31, 32, 33, 34, 35, 37, 39, 45, 49, 51], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 49, 50, 51]]","[0.0, 0.0, 1.0]","[2, 4, 6]","[2.0, 4.0, 5.0]"
"[[45], [4, 5, 6, 8, 10, 13, 14, 16, 17, 19, 23, 25, 27, 29, 30, 32, 34, 35, 36, 39, 41, 42, 44, 45, 50], [2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 44, 45, 48, 49, 50, 51]]","[2.0, 3.0, 4.0]","[2, 4, 6]","[0.0, 1.0, 2.0]"
