optimal_gap,success
100,1
100,0
100,0
100,0
100,1
100,1
100,1
50.33,1
100,0
100,0
100,1
100,0
71.35,1
100,0
100,0
100,0
100,0
76.96,1
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,1
16.92,1
100,1
100,0
96.35,1
48.98,1
100,1
84.15,1
100,1
100,0
100,1
100,1
100,0
100,1
100,1
100,1
100,1
100,1
100,0
100,0
98.37,1
44.31,1
100,0
100,0
100,1
100,1
100,1
15.79,1
100,1
100,1
25.87,1
100,1
100,1
41.67,1
100,0
100,0
100,0
100,0
100,0
100,1
91.82,1
100,1
100,1
100,0
94.14,1
100,0
100,1
93.06,1
100,1
100,0
98.99,1
62.76,1
100,0
100,1
88.22,1
100,0
100,0
100,1
100,1
100,0
100,1
98.16,1
100,0
100,1
37.76,1
79.77,1
100,1
100,1
100,1
100,0
100,0
30.26,1
100,1
100,1
92.4599,
