optimal_gap,success
100,1
100,1
86.78,1
100,0
100,0
100,1
100,1
9.2,1
3.4,1
75.89,1
100,0
79.52,1
52.56,1
100,0
100,1
100,1
100,1
16.09,1
100,1
100,0
35.76,1
100,0
41.93,1
8.67,1
100,0
65.9,1
100,0
12.32,1
100,1
65.97,1
51.11,1
9.2,1
100,0
14.02,1
41.37,1
100,1
100,1
0,1
64.04,1
100,1
100,0
97.45,1
100,0
100,1
100,0
91.11,1
23.95,1
7,1
100,0
100,0
100,1
100,0
100,1
52.63,1
100,1
100,0
78.76,1
12.97,1
100,0
65,1
100,1
100,0
100,1
100,0
65.68,1
89.57,1
19.23,1
100,1
83.95,1
82.75,1
24.75,1
34.18,1
100,0
62.04,1
100,0
100,1
20.83,1
10.68,1
100,0
100,0
76.44,1
100,0
100,1
100,1
69.01,1
15.57,1
35.99,1
87.39,1
100,0
100,0
10.19,1
42.46,1
33.86,1
100,1
100,1
100,0
100,1
2.15,1
100,1
97.51,1
74.2683,
