optimal_gap,success
2.54,1
0,1
200,0
46.33,1
26.81,1
0,1
71.14,1
423.36,0
0,1
3.04,1
1587.92,0
1.42,1
83.59,1
19.3,1
103.07,0
0,1
85.19,1
32.56,1
0,1
111.27,0
93.84,1
5.67,1
4.74,1
12.41,1
85.02,1
88.3,1
0,1
0,1
0,1
100,1
35.09,1
37700,0
118.37,0
361.69,0
1945.76,0
0,1
98.83,1
0,1
63.65,1
0,1
10.8,1
227.46,0
293.89,0
185.4,0
6.33,1
198.37,0
47.73,1
758.99,0
13.95,1
2.94,1
62.17,1
68.13,1
24.58,1
100.06,0
0,1
133.98,0
0,1
119.37,0
Inf,0
3.3,1
215.22,0
205.43,0
0,1
185.92,0
150,0
0,1
212.74,0
0,1
131.13,0
217.84,0
0.69,1
4.95,1
55.91,1
46.17,1
13.86,1
0,1
52.59,1
129.2,0
0,1
90.7,1
114.29,0
144.45,0
110.14,0
162.91,0
0,1
0.54,1
439.89,0
495.97,0
128.02,0
320.35,0
155.87,0
5.68,1
34.58,1
110.67,0
0,1
0,1
0,1
177.54,0
24.59,1
1.2,1
504.115151515152,
