optimal_gap,success
100,1
100,0
96.62,1
100,0
100,1
100,1
100,1
5.76,1
14.45,1
73.96,1
22.42,1
100,0
60.9,1
100,0
100,0
100,0
100,0
9.13,1
100,0
100,0
87.69,1
100,0
44.37,1
16.86,1
100,0
54.62,1
100,1
1.43,1
100,1
69.42,1
29.04,1
12.72,1
100,1
25.94,1
100,1
100,0
100,1
36.53,1
91.72,1
100,1
100,1
100,1
100,1
100,1
100,0
85.23,1
6.52,1
22.81,1
100,0
100,0
100,1
100,1
100,1
15.79,1
100,1
100,1
0,1
32.33,1
100,1
0,1
100,0
100,0
100,0
100,0
65.3,1
93.34,1
15.7,1
100,1
100,1
95.7,1
16.93,1
43.59,1
100,1
40.68,1
100,1
100,0
39.51,1
0,1
100,0
100,0
82.16,1
100,0
100,0
96.98,1
77.58,1
12.22,1
59.24,1
91.57,1
100,0
100,1
3.07,1
59.97,1
50.65,1
100,1
100,1
100,0
100,0
2.15,1
100,1
100,1
74.626,
