optimal_gap,success
50,1
0,1
0,1
0,1
4.95,1
33.33,1
0,1
0,1
0,1
0,1
0,1
1.65,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
52,1
0,1
0,1
0,1
16.51,1
0,1
100,1
0,1
0,1
6,1
0,1
13.04,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
43.66,1
100,1
0,1
0,1
0,1
0,1
0,1
25,1
2.94,1
0,1
0,1
0,1
0,1
75,1
72.41,1
32.55,1
0,1
0,1
0,1
0,1
40,1
0,1
0,1
0,1
0,1
29.15,1
0,1
0,1
0,1
33.33,1
0,1
0,1
12.7,1
0,1
0,1
0,1
0,1
0,1
67.78,1
0,1
0,1
0,1
0,1
80,1
50,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
23.81,1
0,1
53.33,1
34.13,1
10.5327,
