optimal_gap,success
1600,0
297.39,0
516.95,0
237.5,0
653.8,0
1500,0
132.37,0
173.1,0
213.02,0
12.16,1
26.79,1
5796.31,0
235.9,0
928,0
125,0
4085,0
65,1
156.86,0
Inf,0
81.93,1
Inf,0
0,1
63.16,1
244.55,0
49.53,1
26.92,1
2410.66,0
3448.03,0
48.65,1
446.15,0
43.53,1
492.98,0
1.48,1
300,0
461.17,0
420.61,0
529.41,0
439.13,0
62226,0
50,1
0,1
5,1
118.56,0
119.57,0
516.48,0
402.74,0
58.93,1
83.38,1
479.59,0
0,1
4.31,1
0,1
57.14,1
223.6,0
15.08,1
5.41,1
0,1
12.67,1
26.39,1
33.33,1
5.53,1
0,1
23.25,1
34.26,1
75.67,1
100.5,0
360.56,0
62.5,1
3564.52,0
955.62,0
40,1
86760,0
118.65,0
55.48,1
35.7,1
16.03,1
68.23,1
83.69,1
19.57,1
110.12,0
1496.12,0
304.17,0
296.56,0
182.43,0
182.87,0
120.39,0
627.29,0
162.89,0
122.67,0
7.69,1
200,0
11.32,1
2559.23,0
238.33,0
209.96,0
319.89,0
0,1
19.22,1
83.33,1
215,0
1944.39244897959,
