optimal_gap,success
50,1
198.35,0
100,1
68.75,1
443.3,0
100,1
69.01,1
32.84,1
2.57,1
7.65,1
0,1
3362.73,0
121.23,0
6,1
4.63,1
32.5,1
65,1
270.09,0
Inf,0
73.49,1
Inf,0
0,1
0,1
42.19,1
11.54,1
0,1
373.77,0
292.58,0
0,1
53.85,1
10.46,1
103.51,0
0,1
450,0
343.69,0
108.4,0
29.41,1
100,1
12228,0
16.67,1
0,1
0,1
0,1
0,1
66.2,1
100,1
7.8,1
47.66,1
100,1
0,1
3.4,1
0,1
0,1
169.66,0
5.38,1
1.35,1
0,1
0.89,1
46.41,1
0,1
0,1
0,1
37.4,1
12,1
79.25,1
38.61,1
100,1
0,1
100,0
484.67,0
13.33,1
100,1
1.38,1
15.65,1
8.74,1
1.2,1
9.46,1
0,1
13.76,1
64.42,1
231.55,0
20.83,1
168.39,0
133.78,0
25.69,1
0,1
134.31,0
76.28,1
15.9,1
0,1
100,1
0.2,1
100,0
9.83,1
24.24,1
100,0
18.18,1
0,1
0,1
105,0
225.153163265306,
